step,elapsed_seconds,tokens_seen,train_loss,val_loss,learning_rate
2050,10.33841329702409,16793600,4.1251115798950195,,0.002807724809009795
2100,17.702717039035633,17203200,3.931767463684082,,0.0027979657607387076
2150,24.094502835010644,17612800,4.1924262046813965,,0.00278798317280476
2200,29.750476916029584,18022400,4.0945539474487305,,0.002777778784540685
2250,35.150540003029164,18432000,3.8599202632904053,,0.0027673543739249605
2300,40.77932235802291,18841600,3.9126882553100586,,0.002756711757272025
2350,45.99471292103408,19251200,3.8947536945343018,,0.002745852788915807
2400,50.937389278027695,19660800,4.084275245666504,,0.0027347793608866306
2450,56.185709908022545,20070400,3.9921042919158936,,0.0027234934025815575
2500,61.81242442299845,20480000,4.021810531616211,4.00761866569519,0.0027119968804282133
2550,66.84837384102866,20889600,4.130809783935547,,0.002700291797542164
2600,72.07545763102826,21299200,4.00510835647583,,0.0026883801933779003
2650,77.47944208100671,21708800,4.157047271728516,,0.00267626414337349
2700,82.66957178199664,22118400,4.117370128631592,,0.002663945758588959
2750,87.89880256302422,22528000,3.9910728931427,,0.00265142718533847
2800,93.53062140400289,22937600,3.9261820316314697,,0.0026387106048163535
2850,99.10431001504185,23347200,4.018651008605957,,0.002625798232717065
2900,104.4152990510338,23756800,4.027670860290527,,0.0026126923188491296
2950,110.25511185498908,24166400,4.121142387390137,,0.0025993951467431432
3000,116.75065630499739,24576000,4.084179878234863,4.135054874420166,0.002585909033253896
3050,123.206372123037,24985600,3.99497652053833,,0.0025722363281566944
3100,128.09393934503896,25395200,4.035308837890625,,0.0025583794137379414
3150,134.08249495300697,25804800,3.9595258235931396,,0.002544340704380056
3200,139.76698849303648,26214400,3.89094614982605,,0.0025301226461408007
3250,144.71446153800935,26624000,3.9459314346313477,,0.0025157277163270855
3300,149.39184646803187,27033600,3.8551974296569824,,0.002501158423063334
3350,154.3314495619852,27443200,4.028029441833496,,0.00248641730485447
3400,158.75113866000902,27852800,3.8810932636260986,,0.0024715069301436267
3450,163.45358089602087,28262400,3.9269328117370605,,0.00245642989686462
3500,167.8742747750366,28672000,3.8370554447174072,4.011454772949219,0.002441188831989298
3550,172.2198348439997,29081600,3.92147159576416,,0.002425786391069827
3600,176.4181460950058,29491200,4.020859718322754,,0.002410225257775994
3650,180.7825677730143,29900800,4.155840873718262,,0.002394508143427614
3700,184.6294486420229,30310400,3.8542709350585938,,0.002378637786522121
3750,188.6070883310167,30720000,3.949263334274292,,0.0023626169522574184
3800,192.92991043202346,31129600,3.894791603088379,,0.0023464484320500825
3850,197.05239836202236,31539200,3.937314987182617,,0.002330135043048992
3900,201.6405401310185,31948800,4.09117317199707,,0.002313679627644482
3950,206.24102255003527,32358400,3.860433578491211,,0.002297085052973092
4000,210.8395877709845,32768000,3.7910220623016357,3.8506036758422852,0.0022803542104180064
4050,215.65495663601905,33177600,4.018271446228027,,0.002263490015105271
4100,220.42530522303423,33587200,3.7973616123199463,,0.0022464954053958695
4150,224.89293431601254,33996800,3.735956907272339,,0.0022293733423737533
4200,229.55285174999153,34406400,3.724576234817505,,0.0022121268093299126
4250,234.2141825100407,34816000,3.7762222290039062,,0.0021947588112425794
4300,238.7020911219879,35225600,3.895653486251831,,0.002177272374253647
4350,243.13591763802106,35635200,3.7671878337860107,,0.002159670545141407
4400,248.35509166499833,36044800,3.8620355129241943,,0.00214195639078969
4450,252.87436938402243,36454400,3.7530126571655273,,0.002124132997653499
4500,258.1829221830121,36864000,3.716338634490967,3.8172500133514404,0.0021062034712212374
4550,263.19993208599044,37273600,3.771622657775879,,0.0020881709354736203
4600,268.46754923899425,37683200,3.6733384132385254,,0.002070038532339361
4650,273.9463095900137,38092800,3.8616886138916016,,0.0020518094211477316
4700,279.2781189440284,38502400,3.7897324562072754,,0.002033486778078093
4750,283.9784979679971,38912000,3.699812889099121,,0.002015073795606488
4800,289.024473692989,39321600,3.71523380279541,,0.001996573681949394
4850,294.2548598650028,39731200,3.7513315677642822,,0.001977989660504735
4900,299.06225886702305,40140800,3.7488486766815186,,0.001959324969290247
4950,304.25422395701753,40550400,3.886967182159424,,0.0019405828603792981
5000,309.3174494500272,40960000,3.653062343597412,3.68146333694458,0.001921766599334255
5050,314.58403057500254,41369600,3.7503433227539062,,0.0019028794646375057
5100,319.31392022199,41779200,3.69856595993042,,0.0018839247471202254
5150,324.1548092319863,42188800,3.6811752319335938,,0.0018649057493889945
5200,329.18677391001256,42598400,3.737926959991455,,0.0018458257852503619
5250,333.84458504698705,43008000,3.6044797897338867,,0.0018266881791334606
5300,338.3575846219901,43417600,3.6956634521484375,,0.0018074962655107686
5350,343.07182274601655,43827200,3.5983853340148926,,0.0017882533883171216
5400,347.1980338980211,44236800,3.7344319820404053,,0.0017689629003670782
5450,351.80786537303356,44646400,3.7801859378814697,,0.001749628162770735
5500,357.7186386610265,45056000,3.518160820007324,3.64267578125,0.0017302525443481005
5550,362.48553661000915,45465600,3.6700387001037598,,0.0017108394210421196
5600,367.343759084004,45875200,3.783498764038086,,0.0016913921753304645
5650,372.390216136002,46284800,3.7242019176483154,,0.00167191419563618
5700,377.0265779100009,46694400,3.654531478881836,,0.0016524088757372975
5750,381.33350951003376,47104000,3.715590715408325,,0.0016328796141755154
