step,elapsed_seconds,tokens_seen,train_loss,val_loss,learning_rate
100,32.05544705904322,819200,48.1096305847168,,0.00099
200,48.191145795048214,1638400,5.884611129760742,,0.0009997779521645793
300,61.65282364701852,2457600,5.193643093109131,,0.000999103038714867
400,74.28189428301994,3276800,5.137452125549316,,0.0009979759165740032
500,87.2593383010244,4096000,4.835007667541504,,0.000996397720658442
600,99.03828094899654,4915200,4.729913711547852,,0.0009943700400776923
700,110.65104404999875,5734400,4.593100547790527,,0.0009918949165342195
800,121.17037371901097,6553600,4.535845756530762,,0.0009889748422676249
900,131.05462237400934,7372800,4.510371685028076,,0.0009856127575451708
1000,142.02221364201978,8192000,4.497511386871338,4.434833526611328,0.0009818120477011812
1100,151.449667745037,9011200,4.410361289978027,,0.0009775765397282963
1200,160.8383178670192,9830400,4.512913703918457,,0.0009729104984240163
1300,169.61939385102596,10649600,4.357036590576172,,0.0009678186220964111
1400,178.96724513202207,11468800,4.213532447814941,,0.000962306037833323
1500,199.38606122101191,12288000,4.201923370361328,,0.0009563782963398229
1600,215.55906587000936,13107200,4.321744918823242,,0.0009500413663491218
1700,228.78414417000022,13926400,4.338595390319824,,0.0009433016286125616
1800,241.86117646703497,14745600,4.230301380157471,,0.0009361658694747402
1900,254.00177345104748,15564800,4.174283981323242,,0.0009286412740402369
2000,266.7070363170351,16384000,4.263379096984863,4.157029469807942,0.0009207354189388212
2100,279.6533364620409,17203200,4.1217942237854,,0.00091245626469643
2200,292.1964588900446,18022400,4.334946632385254,,0.0009038121477195916
2300,304.1318709210027,18841600,4.306631088256836,,0.000894811771901371
2400,315.42537200800143,19660800,4.1770524978637695,,0.000885464199857288
2500,325.00800568104023,20480000,4.049010276794434,,0.0008757788438000314
2600,335.09038792405045,21299200,4.021719932556152,,0.0008657654560621582
2700,345.24237357702805,22118400,3.9588279724121094,,0.0008554341192763219
2800,356.7573588620289,22937600,4.087995529174805,,0.0008447952362229161
2900,366.8256061710417,23756800,4.071112155914307,,0.0008338595193553559
3000,377.02638241800014,24576000,4.008187770843506,4.112344106038411,0.0008226379800135461
3100,387.3640228059958,25395200,3.9512875080108643,,0.0008111419173363944
3200,397.33474719600054,26214400,3.9885988235473633,,0.0007993829068845376
3300,406.8066743170493,27033600,3.9471330642700195,,0.0007873727889847317
3400,416.4959394430043,27852800,3.9256558418273926,,0.000775123656807648
3500,425.7894855560153,28672000,4.0654401779174805,,0.0007626478441910743
3600,435.14933387201745,29491200,4.080708980560303,,0.0007499579132207861
3700,444.1868074090453,30310400,3.969332456588745,,0.0007370666415815911
3800,453.6311997100129,31129600,4.056194305419922,,0.0007239870096912835
3900,463.7060440540081,31948800,4.013493537902832,,0.0007107321876304643
4000,473.61262592399726,32768000,4.070679664611816,3.9692562421162925,0.000697315521881385
4100,482.8641366439988,33587200,4.154606342315674,,0.0006837505218891735
4200,491.74698148999596,34406400,3.974311351776123,,0.0006700508464589659
4300,500.66441471199505,35225600,3.9634876251220703,,0.0006562302900026485
4400,511.32945194403874,36044800,3.9760372638702393,,0.0006423027686490544
4500,524.583718881011,36864000,4.0609893798828125,,0.0006282823062316016
4600,536.1963704650407,37683200,4.005621910095215,,0.0006141830201674803
4700,547.8695179210044,38502400,3.8360745906829834,,0.0006000191072426121
4800,561.3389529890264,39321600,4.135327339172363,,0.0005858048293166888
4900,576.2577722560382,40140800,4.093138694763184,,0.000571554498962689
5000,592.8283902380499,40960000,3.841122627258301,3.9243217309316,0.0005572824650553304
5100,607.7726815130445,41779200,3.887497901916504,,0.0005430030983229691
5200,620.647344994999,42598400,4.029016971588135,,0.0005287307768774949
5300,631.8531275920104,43417600,3.9095683097839355,,0.0005144798717367899
5400,642.5330361030065,44236800,3.894249439239502,,0.0005002647323543339
5500,653.7788455430418,45056000,3.7745370864868164,,0.0004860996721705189
5600,665.1821032980224,45875200,3.928034782409668,,0.00047199895420022914
5700,676.5792705840431,46694400,4.00190544128418,,0.00045797677667119434
5800,687.6430844120332,47513600,3.9320621490478516,,0.00044404725872757705
5900,697.8168845900218,48332800,3.885087013244629,,0.0004302244262131918
6000,707.4432739740005,49152000,3.894623279571533,3.9747023582458496,0.00041652219754866916
6100,716.8654810050502,49971200,3.908081531524658,,0.0004029543697167863
6200,725.7674088160275,50790400,3.784283399581909,,0.00038953460437007414
6300,734.8075164930196,51609600,3.787214756011963,,0.0003762764140746922
6400,744.0673181690508,52428800,3.8266005516052246,,0.0003631931487044195
6500,752.8279370100354,53248000,3.8755669593811035,,0.00035029798199846243
6600,761.6315049140248,54067200,3.8874669075012207,,0.0003376038982966179
6700,770.6944411430159,54886400,3.9108569622039795,,0.00032512367946514194
6800,780.1534026490408,55705600,3.805173635482788,,0.00031286989202649506
6900,789.8967922320007,56524800,3.7532520294189453,,0.0003008548745059191
7000,799.5472289400059,57344000,3.748830556869507,3.764174143473307,0.00028909072500758775
7100,809.5729783730349,58163200,3.940735101699829,,0.0002775892890328414
7200,819.6697958790464,58982400,3.8023149967193604,,0.00026636214755277194
7300,831.8319528570282,59801600,3.824406623840332,,0.0002554206053471656
7400,844.0328385810135,60620800,3.717816114425659,,0.00024477567962154846
7500,856.7385023080278,61440000,3.7445755004882812,,0.0002344380889137948
7600,868.1697406180319,62259200,3.797518253326416,,0.00022441824230146735
7700,878.6924295560457,63078400,3.890702247619629,,0.00021472622892075815
7800,888.4821427779971,63897600,3.6971452236175537,,0.0002053718078075853
7900,897.8195280230138,64716800,3.616602897644043,,0.00019636439807106925
8000,907.6969900720287,65536000,3.874330520629883,3.843572457631429,0.00018771306940928916
8100,917.8572841870482,66355200,3.827235698699951,,0.0001794265329768659
8200,927.2571905830409,67174400,3.8750712871551514,,0.00017151313261356725
8300,936.958380177035,67993600,3.8057470321655273,,0.00016398083644276868
8400,948.6733478670358,68812800,3.742351531982422,,0.00015683722884822903
8500,965.3799313740456,69632000,3.7524447441101074,,0.00015008950283725808
8600,979.6123132500215,70451200,3.786839485168457,,0.00014374445279796873
8700,992.5448458080064,71270400,3.9259700775146484,,0.00013780846765790373
8800,1004.4753819490434,72089600,3.8014159202575684,,0.00013228752445092721
8900,1016.4023879360175,72908800,3.8089776039123535,,0.0001271871822988582
9000,1027.6830384200439,73728000,3.703751802444458,3.815107822418213,0.00012251257681390645
9100,1039.234340170049,74547200,3.7383933067321777,,0.00011826841492754575
9200,1049.5925276720081,75366400,3.8216888904571533,,0.00011445897015103371
